candidate,family,fold,repeat,split,validation_samples,validation_fail,selected_features,removed_high_missing,removed_uninformative,removed_duplicate,threshold,pr_auc_average_precision,fail_recall,precision,f1,balanced_accuracy,false_alarm_rate,accuracy,tn,fp,fn,tp
l1_logistic_c_1,logistic,2,0,2,235,16,444,24,122,0,0.5,0.16733715463616847,0.1875,0.10714285714285714,0.13636363636363635,0.5366723744292237,0.1141552511415525,0.8382978723404255,194,25,13,3
l1_logistic_c_1,logistic,3,0,3,235,16,444,24,122,0,0.5,0.12429179839177129,0.1875,0.13636363636363635,0.15789473684210525,0.55037100456621,0.0867579908675799,0.8638297872340426,200,19,13,3
l1_logistic_c_1,logistic,4,0,4,235,16,444,24,122,0,0.5,0.20634152796866606,0.3125,0.19230769230769232,0.23809523809523808,0.608304794520548,0.0958904109589041,0.8638297872340426,198,21,11,5
l1_logistic_c_1,logistic,5,1,0,235,16,444,24,122,0,0.5,0.20451344647991426,0.3125,0.2,0.24390243902439024,0.610587899543379,0.091324200913242,0.8680851063829788,199,20,11,5
l1_logistic_c_1,logistic,6,1,1,235,16,444,24,122,0,0.5,0.14906509492369044,0.125,0.09090909090909091,0.10526315789473684,0.516837899543379,0.091324200913242,0.8553191489361702,199,20,14,2
l1_logistic_c_1,logistic,7,1,2,235,16,444,24,122,0,0.5,0.09236433793373582,0.0625,0.04,0.04878048780487805,0.4764554794520548,0.1095890410958904,0.8340425531914893,195,24,15,1
l1_logistic_c_1,logistic,8,1,3,235,16,444,24,122,0,0.5,0.14307620389047082,0.1875,0.11538461538461539,0.14285714285714285,0.5412385844748858,0.1050228310502283,0.8468085106382979,196,23,13,3
l1_logistic_c_1,logistic,9,1,4,235,16,444,24,122,0,0.5,0.21460073010571962,0.1875,0.10714285714285714,0.13636363636363635,0.5366723744292237,0.1141552511415525,0.8382978723404255,194,25,13,3
l1_logistic_c_1,logistic,10,2,0,235,16,444,24,122,0,0.5,0.2943093499136526,0.375,0.23076923076923078,0.2857142857142857,0.641837899543379,0.091324200913242,0.8723404255319149,199,20,10,6
l1_logistic_c_1,logistic,11,2,1,235,16,444,24,122,0,0.5,0.14860215286120532,0.3125,0.1282051282051282,0.18181818181818182,0.5786244292237444,0.1552511415525114,0.8085106382978723,185,34,11,5
l1_logistic_c_1,logistic,12,2,2,235,16,444,24,122,0,0.5,0.11888741066462694,0.1875,0.12,0.14634146341463414,0.5435216894977168,0.1004566210045662,0.851063829787234,197,22,13,3
l1_logistic_c_1,logistic,13,2,3,235,16,444,24,122,0,0.5,0.23070961801560494,0.1875,0.13043478260869565,0.15384615384615385,0.548087899543379,0.091324200913242,0.8595744680851064,199,20,13,3
l1_logistic_c_1,logistic,14,2,4,235,16,444,24,122,0,0.5,0.17647517478394847,0.3125,0.2,0.24390243902439024,0.610587899543379,0.091324200913242,0.8680851063829788,199,20,11,5
l1_logistic_c_1,logistic,15,3,0,235,16,444,24,122,0,0.5,0.11718079489784744,0.1875,0.0967741935483871,0.1276595744680851,0.5298230593607306,0.1278538812785388,0.825531914893617,191,28,13,3
l1_logistic_c_1,logistic,16,3,1,235,16,444,24,122,0,0.5,0.08872091622601332,0.0625,0.037037037037037035,0.046511627906976744,0.4718892694063927,0.1187214611872146,0.825531914893617,193,26,15,1
l1_logistic_c_1,logistic,17,3,2,235,16,444,24,122,0,0.5,0.13774856633874122,0.25,0.125,0.16666666666666666,0.5610730593607306,0.1278538812785388,0.8297872340425532,191,28,12,4
l1_logistic_c_1,logistic,18,3,3,235,16,444,24,122,0,0.5,0.13805576365459446,0.25,0.15384615384615385,0.19047619047619047,0.5747716894977168,0.1004566210045662,0.8553191489361702,197,22,12,4
l1_logistic_c_1,logistic,19,3,4,235,16,444,24,122,0,0.5,0.1717771444067316,0.375,0.15,0.21428571428571427,0.6098744292237444,0.1552511415525114,0.8127659574468085,185,34,10,6
l1_logistic_c_1,logistic,20,4,0,235,16,444,24,122,0,0.5,0.13674969932461614,0.25,0.13793103448275862,0.17777777777777778,0.5679223744292237,0.1141552511415525,0.8425531914893617,194,25,12,4
l1_logistic_c_1,logistic,21,4,1,235,16,444,24,122,0,0.5,0.1344976002987631,0.3125,0.20833333333333334,0.25,0.61287100456621,0.0867579908675799,0.8723404255319149,200,19,11,5
l1_logistic_c_1,logistic,22,4,2,235,16,444,24,122,0,0.5,0.13193359667425122,0.1875,0.10344827586206896,0.13333333333333333,0.5343892694063928,0.1187214611872146,0.8340425531914893,193,26,13,3
l1_logistic_c_1,logistic,23,4,3,235,16,444,24,122,0,0.5,0.2666470448755924,0.375,0.2222222222222222,0.27906976744186046,0.639554794520548,0.0958904109589041,0.8680851063829788,198,21,10,6
l1_logistic_c_1,logistic,24,4,4,235,16,444,24,122,0,0.5,0.1533940589626326,0.1875,0.11538461538461539,0.14285714285714285,0.5412385844748858,0.1050228310502283,0.8468085106382979,196,23,13,3
random_forest_depth_8_leaf_4,random_forest,0,0,0,235,16,444,24,122,0,0.5,0.2818716892035746,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,1,0,1,235,16,444,24,122,0,0.5,0.13790736668917822,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,2,0,2,235,16,444,24,122,0,0.5,0.1391967261612369,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,3,0,3,235,16,444,24,122,0,0.5,0.27877749322856626,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,4,0,4,235,16,444,24,122,0,0.5,0.14938698192171646,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,5,1,0,235,16,444,24,122,0,0.5,0.3290979883835144,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,6,1,1,235,16,444,24,122,0,0.5,0.21115698759188853,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,7,1,2,235,16,444,24,122,0,0.5,0.14040682084100642,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,8,1,3,235,16,444,24,122,0,0.5,0.26999152885415645,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,9,1,4,235,16,444,24,122,0,0.5,0.1962187656428277,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,10,2,0,235,16,444,24,122,0,0.5,0.22862230203597794,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,11,2,1,235,16,444,24,122,0,0.5,0.2301970629902504,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,12,2,2,235,16,444,24,122,0,0.5,0.2053076373120662,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,13,2,3,235,16,444,24,122,0,0.5,0.1289858906720635,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,14,2,4,235,16,444,24,122,0,0.5,0.22662089098193255,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,15,3,0,235,16,444,24,122,0,0.5,0.17640463354558963,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,16,3,1,235,16,444,24,122,0,0.5,0.17253338543908406,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,17,3,2,235,16,444,24,122,0,0.5,0.22367989892334397,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,18,3,3,235,16,444,24,122,0,0.5,0.144062423547343,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,19,3,4,235,16,444,24,122,0,0.5,0.21460011632902995,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,20,4,0,235,16,444,24,122,0,0.5,0.14612886091605057,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,21,4,1,235,16,444,24,122,0,0.5,0.1436921511692078,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,22,4,2,235,16,444,24,122,0,0.5,0.3175845618454676,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,23,4,3,235,16,444,24,122,0,0.5,0.14585485676593613,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_8_leaf_4,random_forest,24,4,4,235,16,444,24,122,0,0.5,0.23428292257884797,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,0,0,0,235,16,444,24,122,0,0.5,0.2939162749380754,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,1,0,1,235,16,444,24,122,0,0.5,0.15488733299290436,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,2,0,2,235,16,444,24,122,0,0.5,0.18761904669122256,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,3,0,3,235,16,444,24,122,0,0.5,0.2367799565725548,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
random_forest_depth_none_leaf_8,random_forest,4,0,4,235,16,444,24,122,0,0.5,0.14070058475382832,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
